idx,date,signal,position,return,pnl,equity,action
0,2020-01-01,-1,-1,0.0081838863379848,-0.0081838863379848,0.9908161136620152,enter
1,2020-01-02,0,-1,-0.0045227893866035,0.0045227893866035,0.9952973662649615,hold
2,2020-01-03,-1,-1,-0.0191058530729412,0.0191058530729412,1.0143133715087052,hold
3,2020-01-06,0,-1,0.0049945920012428,-0.0049945920012428,1.0092472900566143,hold
4,2020-01-07,0,-1,-0.0022899444111396,0.0022899444111396,1.0115584102479371,hold
5,2020-01-08,-1,-1,0.0158457581226116,-0.0158457581226116,0.9955295003522548,hold
6,2020-01-09,1,1,0.0033480474426501,0.0033480474426501,0.9968715213492875,flip
7,2020-01-10,1,1,0.0059354808073293,0.0059354808073293,1.0027884331316292,hold
8,2020-01-13,1,1,0.0026562202609821,0.0026562202609821,1.005452060085192,hold
9,2020-01-14,0,1,-0.0015369308543056,-0.0015369308543056,1.003906749791522,hold
10,2020-01-15,0,1,0.0009884063018437,0.0009884063018437,1.0048990175494794,hold
11,2020-01-16,-1,-1,-0.0002549788049855,0.0002549788049855,1.0031454474650063,flip
12,2020-01-17,-1,-1,-0.0103461939411514,0.0103461939411514,1.0135241848156624,hold
13,2020-01-20,0,-1,-0.0044746183856623,0.0044746183856623,1.018059318767352,hold
14,2020-01-21,0,-1,-0.0051725551893021,0.0051725551893021,1.0233252867796592,hold
15,2020-01-22,0,-1,0.0060667236352978,-0.0060667236352978,1.0171170550757551,hold
16,2020-01-23,1,1,0.0055745847042631,0.0055745847042631,1.0207528261432741,flip
17,2020-01-24,0,1,-0.0105525279121506,-0.0105525279121506,1.0099813034539906,hold
18,2020-01-27,0,1,-0.0052149678449129,-0.0052149678449129,1.004714283432515,hold
19,2020-01-28,0,1,0.0061132563999481,0.0061132563999481,1.0108563594558282,hold
20,2020-01-29,1,1,-0.007724984155365,-0.007724984155365,1.003047510095682,hold
21,2020-01-30,0,1,-0.0061234148547233,-0.0061234148547233,0.9969054340723688,hold
22,2020-01-31,1,1,-0.0212503847193161,-0.0212503847193161,0.9757208100695541,hold
23,2020-02-03,0,1,0.0232108226866707,0.0232108226866707,0.9983680927837733,hold
24,2020-02-04,1,1,0.0091405004678344,0.0091405004678344,1.0074936768029343,hold
25,2020-02-05,1,1,0.0040366612301674,0.0040366612301674,1.0115605874677236,hold
26,2020-02-06,1,1,-0.0032625431230384,-0.0032625431230384,1.008260327429544,hold
27,2020-02-07,-1,-1,-0.0055255147630383,0.0055255147630383,1.0118149640988827,flip
28,2020-02-10,1,1,0.0063500303889789,0.0063500303889789,1.0162163899407366,flip
29,2020-02-11,1,1,0.0077056964194832,0.0077056964194832,1.0240470449381232,hold
30,2020-02-12,0,1,-0.0021759994314084,-0.0021759994314084,1.0218187191506023,hold
31,2020-02-13,-1,-1,-0.0050268544351488,0.0050268544351488,1.0249116156725815,flip
32,2020-02-14,0,-1,-0.0055847334602637,0.0055847334602637,1.030635473866441,hold
33,2020-02-17,-1,-1,-0.0044247626186481,0.0044247626186481,1.0351957911846577,hold
34,2020-02-18,1,1,0.011123651500938,0.011123651500938,1.0446405568186643,flip
35,2020-02-19,0,1,-0.0037152524595064,-0.0037152524595064,1.0407594534206437,hold
36,2020-02-20,-1,-1,-0.0208138687990014,0.0208138687990014,1.06034016522862,flip
37,2020-02-24,0,-1,-0.0026628568617023,0.0026628568617023,1.0631636993133375,hold
38,2020-02-25,0,-1,-0.0101204779385897,0.0101204779385897,1.0739234240773476,hold
39,2020-02-26,0,-1,-0.0038703767874727,0.0038703767874727,1.0780799123694198,hold
40,2020-02-27,1,1,-0.0370960786649383,-0.0370960786649383,1.035931215308335,flip
41,2020-02-28,-1,-1,-0.0061597518244916,0.0061597518244916,1.0402404320712617,flip
42,2020-03-02,1,1,0.0153196474085468,0.0153196474085468,1.0540960678465654,flip
43,2020-03-03,-1,-1,-0.0046269501465237,0.0046269501465237,1.056865125666445,flip
44,2020-03-04,1,1,0.0015998577904186,0.0015998577904186,1.0564422293198312,flip
45,2020-03-05,-1,-1,-0.0248069753028219,0.0248069753028219,1.0805364811527867,flip
46,2020-03-06,1,1,-0.0489560433359516,-0.0489560433359516,1.0254766173930887,flip
47,2020-03-09,1,1,0.0006649981756232,0.0006649981756232,1.0261585574727994,hold
48,2020-03-11,1,1,-0.0830193880106471,-0.0830193880106471,0.9409675020295191,hold
49,2020-03-12,1,1,0.0380650761268936,0.0380650761268936,0.9767855016272057,hold
50,2020-03-13,1,1,-0.0761210010667908,-0.0761210010667908,0.9024316114158154,hold
51,2020-03-16,1,1,-0.0250451840905282,-0.0250451840905282,0.8798300455787943,hold
52,2020-03-17,1,1,-0.055564540272715,-0.055564540272715,0.8309426935780867,hold
53,2020-03-18,1,1,-0.0242477817531284,-0.0242477817531284,0.8107941764948486,hold
54,2020-03-19,1,1,0.0583291468584656,0.0583291468584656,0.8580871090876054,hold
55,2020-03-20,1,1,-0.1298046607047124,-0.1298046607047124,0.7467034030374012,hold
56,2020-03-23,1,1,0.0250714240251634,0.0250714240251634,0.7654243206759844,hold
57,2020-03-24,1,1,0.0662474689466749,0.0662474689466749,0.8161317445909965,hold
58,2020-03-25,1,1,0.0389043564303894,0.0389043564303894,0.8478828248767202,hold
59,2020-03-26,1,1,0.0021755381634551,0.0021755381634551,0.8497274263203777,hold
60,2020-03-27,1,1,-0.0437805364308189,-0.0437805364308189,0.8125259037760924,hold
61,2020-03-30,1,1,0.0382377227133605,0.0382377227133605,0.8435950439821053,hold
62,2020-03-31,1,1,-0.0400046750966822,-0.0400046750966822,0.8098472983344298,hold
63,2020-04-01,1,1,-0.0205965741867707,-0.0205965741867707,0.7931672183743289,hold
64,2020-04-03,1,1,0.0876321046711503,0.0876321046711503,0.8626741310766333,hold
65,2020-04-07,1,1,-0.0049419024075071,-0.0049419024075071,0.8584108797113715,hold
66,2020-04-08,1,1,0.0415088316188025,0.0415088316188025,0.894042512377059,hold
67,2020-04-09,1,1,-0.0129556707370791,-0.0129556707370791,0.8824595919617508,hold
68,2020-04-13,1,1,-0.0076218535626885,-0.0076218535626885,0.8757336141768285,hold
69,2020-04-15,-1,-1,0.0075627711647903,-0.0075627711647903,0.8673591740231407,flip
70,2020-04-16,-1,-1,0.0304632818768748,-0.0304632818768748,0.8409365670163804,hold
71,2020-04-17,0,-1,-0.0005288143766692,0.0005288143766692,0.8413812663628856,hold
72,2020-04-20,-1,-1,-0.0302746671440956,0.0302746671440956,0.8668538041432996,hold
73,2020-04-21,-1,-1,0.0229194177887257,-0.0229194177887257,0.846986019644393,hold
74,2020-04-22,-1,-1,0.0137799558770148,-0.0137799558770148,0.835314589665245,hold
75,2020-04-23,-1,-1,-0.0171249415723349,0.0171249415723349,0.8496193032077812,hold
76,2020-04-24,-1,-1,0.0139713589754586,-0.0139713589754586,0.8377489669301863,hold
77,2020-04-27,1,1,0.0106224306488902,0.0106224306488902,0.8449723992987213,flip
78,2020-04-28,-1,-1,0.0183830135241964,-0.0183830135241964,0.8277493154562428,flip
79,2020-04-29,-1,-1,0.032088303452139,-0.032088303452139,0.8011882442395826,hold
80,2020-04-30,-1,-1,-0.057444839013135,0.057444839013135,0.8472123739491417,hold
81,2020-05-04,-1,-1,-0.0094582655216011,0.0094582655216011,0.8552255335351387,hold
82,2020-05-05,-1,-1,0.0070935934671216,-0.0070935934671216,0.8491589112775383,hold
83,2020-05-06,-1,-1,-0.0077501195040513,0.0077501195040513,0.8557399943178693,hold
84,2020-05-07,1,1,0.0057016970693835,0.0057016970693835,0.85890768454699,flip
85,2020-05-08,1,1,-0.0013294930214019,-0.0013294930214019,0.8577657727743562,hold
86,2020-05-11,1,1,-0.0046162427183511,-0.0046162427183511,0.8538061177717357,hold
87,2020-05-12,1,1,0.0203337125303977,0.0203337125303977,0.871167165927201,hold
88,2020-05-13,1,1,-0.0256619093732747,-0.0256619093732747,0.8488113530662046,hold
89,2020-05-14,1,1,-0.0006453627874545,-0.0006453627874545,0.8482635618053668,hold
90,2020-05-15,1,1,-0.0343225097032598,-0.0343225097032598,0.8191490274743803,hold
91,2020-05-18,1,1,0.0063298228402233,0.0063298228402233,0.8243340956980344,hold
92,2020-05-19,1,1,0.021111396826158,0.021111396826158,0.8417369399096477,hold
93,2020-05-20,1,1,0.0043787544510012,0.0043787544510012,0.8454226992818492,hold
94,2020-05-21,1,1,-0.0073575840768702,-0.0073575840768702,0.8392024306913884,hold
95,2020-05-22,1,1,-0.0011284338094974,-0.0011284338094974,0.8382554462955838,hold
96,2020-05-26,1,1,0.0316645047717616,0.0316645047717616,0.8647983898747655,hold
97,2020-05-27,0,1,0.0188030435364687,0.0188030435364687,0.8810592316498489,hold
98,2020-05-28,0,1,0.0095046626511057,0.0095046626511057,0.8894334024223232,hold
99,2020-05-29,0,1,0.0256620973194605,0.0256620973194605,0.9122581289544638,hold
100,2020-06-01,0,1,0.0155655279707429,0.0155655279707429,0.9264579083772422,hold
101,2020-06-02,-1,-1,0.0082622880359908,-0.0082622880359908,0.9169503304682534,flip
102,2020-06-03,-1,-1,-0.0032251686810099,0.0032251686810099,0.9199076499561212,hold
103,2020-06-04,-1,-1,0.0112722762414605,-0.0112722762414605,0.909538196809183,hold
104,2020-06-05,-1,-1,0.0024945207587225,-0.0024945207587225,0.9072693348963915,hold
105,2020-06-08,-1,-1,-0.0118810323499978,0.0118810323499978,0.9180486312144566,hold
106,2020-06-09,-1,-1,0.0069177285262014,-0.0069177285262014,0.9116978200098641,hold
107,2020-06-10,1,1,-0.021169158460066,-0.021169158460066,0.8905745487503589,flip
