idx,date,signal,position,return,pnl,equity,action
0,2020-01-01,-1,-1,0.0081838863379848,-0.0081838863379848,0.9908161136620152,enter
1,2020-01-02,0,-1,-0.0045227893866035,0.0045227893866035,0.9952973662649615,hold
2,2020-01-03,-1,-1,-0.0191058530729412,0.0191058530729412,1.0143133715087052,hold
3,2020-01-06,0,-1,0.0049945920012428,-0.0049945920012428,1.0092472900566143,hold
4,2020-01-07,1,1,-0.0022899444111396,-0.0022899444111396,1.004917675285178,flip
5,2020-01-08,-1,-1,0.0158457581226116,-0.0158457581226116,0.9869841575189017,flip
6,2020-01-09,1,1,0.0033480474426501,0.0033480474426501,0.9883146589883812,flip
7,2020-01-10,1,1,0.0059354808073293,0.0059354808073293,0.994180781678409,hold
8,2020-01-13,1,1,0.0026562202609821,0.0026562202609821,0.9968215448137822,hold
9,2020-01-14,1,1,-0.0015369308543056,-0.0015369308543056,0.9952894990253213,hold
10,2020-01-15,0,1,0.0009884063018437,0.0009884063018437,0.9962732494383167,hold
11,2020-01-16,0,1,-0.0002549788049855,-0.0002549788049855,0.9960192208757359,hold
12,2020-01-17,-1,-1,-0.0103461939411514,0.0103461939411514,1.0043321904622793,flip
13,2020-01-20,0,-1,-0.0044746183856623,0.0044746183856623,1.0088261937470344,hold
14,2020-01-21,1,1,-0.0051725551893021,-0.0051725551893021,1.0015903321959703,flip
15,2020-01-22,1,1,0.0060667236352978,0.0060667236352978,1.0076667039371894,hold
16,2020-01-23,1,1,0.0055745847042631,0.0055745847042631,1.013284027331953,hold
17,2020-01-24,1,1,-0.0105525279121506,-0.0105525279121506,1.0025913193505962,hold
18,2020-01-27,0,1,-0.0052149678449129,-0.0052149678449129,0.997362837858594,hold
19,2020-01-28,-1,-1,0.0061132563999481,-0.0061132563999481,0.9892709774312674,flip
20,2020-01-29,1,1,-0.007724984155365,-0.007724984155365,0.9796503328503858,flip
21,2020-01-30,-1,-1,-0.0061234148547233,0.0061234148547233,0.9836898375852958,flip
22,2020-01-31,0,-1,-0.0212503847193161,0.0212503847193161,1.004593625078465,hold
23,2020-02-03,0,-1,0.0232108226866707,-0.0232108226866707,0.981276180574609,hold
24,2020-02-04,1,1,0.0091405004678344,0.0091405004678344,0.9882829836010768,flip
25,2020-02-05,1,1,0.0040366612301674,0.0040366612301674,0.9922723472054135,hold
26,2020-02-06,0,1,-0.0032625431230384,-0.0032625431230384,0.9890350158828572,hold
27,2020-02-07,1,1,-0.0055255147630383,-0.0055255147630383,0.9835700883014347,hold
28,2020-02-10,1,1,0.0063500303889789,0.0063500303889789,0.9898157882518395,hold
29,2020-02-11,1,1,0.0077056964194832,0.0077056964194832,0.9974430082273197,hold
30,2020-02-12,0,1,-0.0021759994314084,-0.0021759994314084,0.9952725728085547,hold
31,2020-02-13,1,1,-0.0050268544351488,-0.0050268544351488,0.9902694824617501,hold
32,2020-02-14,-1,-1,-0.0055847334602637,0.0055847334602637,0.9938193346102087,flip
33,2020-02-17,1,1,-0.0044247626186481,-0.0044247626186481,0.9874342812995153,flip
34,2020-02-18,1,1,0.011123651500938,0.011123651500938,0.9984181561247704,hold
35,2020-02-19,1,1,-0.0037152524595064,-0.0037152524595064,0.9947087806146119,hold
36,2020-02-20,1,1,-0.0208138687990014,-0.0208138687990014,0.9740050425616847,hold
37,2020-02-24,0,1,-0.0026628568617023,-0.0026628568617023,0.9714114065507667,hold
38,2020-02-25,0,1,-0.0101204779385897,-0.0101204779385897,0.9615802588414752,hold
39,2020-02-26,0,1,-0.0038703767874727,-0.0038703767874727,0.9578585809283632,hold
40,2020-02-27,1,1,-0.0370960786649383,-0.0370960786649383,0.9223257836603584,hold
41,2020-02-28,1,1,-0.0061597518244916,-0.0061597518244916,0.9166444857316809,hold
42,2020-03-02,1,1,0.0153196474085468,0.0153196474085468,0.930687156052079,hold
43,2020-03-03,-1,-1,-0.0046269501465237,0.0046269501465237,0.9331320248130377,flip
44,2020-03-04,1,1,0.0015998577904186,0.0015998577904186,0.9327586393027978,flip
45,2020-03-05,-1,-1,-0.0248069753028219,0.0248069753028219,0.9540320425528704,flip
46,2020-03-06,1,1,-0.0489560433359516,-0.0489560433359516,0.90541834444866,flip
47,2020-03-09,1,1,0.0006649981756232,0.0006649981756232,0.9060204459958942,hold
48,2020-03-11,1,1,-0.0830193880106471,-0.0830193880106471,0.8308031830441814,hold
49,2020-03-12,1,1,0.0380650761268936,0.0380650761268936,0.8624277694532237,hold
50,2020-03-13,1,1,-0.0761210010667908,-0.0761210010667908,0.7967789042946449,hold
51,2020-03-16,1,1,-0.0250451840905282,-0.0250451840905282,0.7768234299571362,hold
52,2020-03-17,1,1,-0.055564540272715,-0.055564540272715,0.7336595931984943,hold
53,2020-03-18,1,1,-0.0242477817531284,-0.0242477817531284,0.7158699755015282,hold
54,2020-03-19,1,1,0.0583291468584656,0.0583291468584656,0.7576260604341231,hold
55,2020-03-20,-1,-1,-0.1298046607047124,0.1298046607047124,0.8544542020289541,flip
56,2020-03-23,1,1,0.0250714240251634,0.0250714240251634,0.8741676772340468,flip
57,2020-03-24,1,1,0.0662474689466749,0.0662474689466749,0.9320790732857963,hold
58,2020-03-25,1,1,0.0389043564303894,0.0389043564303894,0.968341009774214,hold
59,2020-03-26,1,1,0.0021755381634551,0.0021755381634551,0.9704476725962166,hold
60,2020-03-27,1,1,-0.0437805364308189,-0.0437805364308189,0.9279609529119145,hold
61,2020-03-30,-1,-1,0.0382377227133605,-0.0382377227133605,0.8906219173998191,flip
62,2020-03-31,-1,-1,-0.0400046750966822,0.0400046750966822,0.926250957839383,hold
63,2020-04-01,1,1,-0.0205965741867707,-0.0205965741867707,0.905320859354998,flip
64,2020-04-03,1,1,0.0876321046711503,0.0876321046711503,0.9846560316629709,hold
65,2020-04-07,1,1,-0.0049419024075071,-0.0049419024075071,0.9797899576495293,hold
66,2020-04-08,-1,-1,0.0415088316188025,-0.0415088316188025,0.9371604413603623,flip
67,2020-04-09,-1,-1,-0.0129556707370791,0.0129556707370791,0.9493019834664428,hold
68,2020-04-13,-1,-1,-0.0076218535626885,0.0076218535626885,0.9565374241711937,hold
69,2020-04-15,-1,-1,0.0075627711647903,-0.0075627711647903,0.949303350521629,hold
70,2020-04-16,-1,-1,0.0304632818768748,-0.0304632818768748,0.9203844549680269,hold
71,2020-04-17,-1,-1,-0.0005288143766692,0.0005288143766692,0.920871167499877,hold
72,2020-04-20,-1,-1,-0.0302746671440956,0.0302746671440956,0.9487502355785304,hold
73,2020-04-21,-1,-1,0.0229194177887257,-0.0229194177887257,0.9270054325521542,hold
74,2020-04-22,-1,-1,0.0137799558770148,-0.0137799558770148,0.9142313385938325,hold
75,2020-04-23,-1,-1,-0.0171249415723349,0.0171249415723349,0.9298874968508495,hold
76,2020-04-24,-1,-1,0.0139713589754586,-0.0139713589754586,0.9168957048255556,hold
77,2020-04-27,-1,-1,0.0106224306488902,-0.0106224306488902,0.9071560437887808,hold
78,2020-04-28,-1,-1,0.0183830135241964,-0.0183830135241964,0.8904797819672552,hold
79,2020-04-29,-1,-1,0.032088303452139,-0.032088303452139,0.8619057965054954,hold
80,2020-04-30,-1,-1,-0.057444839013135,0.057444839013135,0.9114178362302414,hold
81,2020-05-04,-1,-1,-0.0094582655216011,0.0094582655216011,0.9200382681264302,hold
82,2020-05-05,1,1,0.0070935934671216,0.0070935934671216,0.9247245690384609,flip
83,2020-05-06,-1,-1,-0.0077501195040513,0.0077501195040513,0.9300418458187644,flip
84,2020-05-07,1,1,0.0057016970693835,0.0057016970693835,0.9334845789938357,flip
85,2020-05-08,1,1,-0.0013294930214019,-0.0013294930214019,0.9322435177604771,hold
86,2020-05-11,1,1,-0.0046162427183511,-0.0046162427183511,0.9279400554098852,hold
87,2020-05-12,1,1,0.0203337125303977,0.0203337125303977,0.9468085217420311,hold
88,2020-05-13,1,1,-0.0256619093732747,-0.0256619093732747,0.9225116072632429,hold
89,2020-05-14,1,1,-0.0006453627874545,-0.0006453627874545,0.9219162526009204,hold
90,2020-05-15,1,1,-0.0343225097032598,-0.0343225097032598,0.8902737730754323,hold
91,2020-05-18,1,1,0.0063298228402233,0.0063298228402233,0.895909048338297,hold
92,2020-05-19,1,1,0.021111396826158,0.021111396826158,0.9148229397779124,hold
93,2020-05-20,1,1,0.0043787544510012,0.0043787544510012,0.918828724797343,hold
94,2020-05-21,1,1,-0.0073575840768702,-0.0073575840768702,0.9120683652024032,hold
95,2020-05-22,1,1,-0.0011284338094974,-0.0011284338094974,0.9110391564225357,hold
96,2020-05-26,-1,-1,0.0316645047717616,-0.0316645047717616,0.8803694743938876,flip
97,2020-05-27,0,-1,0.0188030435364687,-0.0188030435364687,0.8638158488386812,hold
98,2020-05-28,0,-1,0.0095046626511057,-0.0095046626511057,0.8556055706027911,hold
99,2020-05-29,0,-1,0.0256620973194605,-0.0256620973194605,0.8336489371829098,hold
100,2020-06-01,0,-1,0.0155655279707429,-0.0155655279707429,0.8206727513334091,hold
101,2020-06-02,-1,-1,0.0082622880359908,-0.0082622880359908,0.8138921166786034,hold
102,2020-06-03,-1,-1,-0.0032251686810099,0.0032251686810099,0.816517056043036,hold
103,2020-06-04,-1,-1,0.0112722762414605,-0.0112722762414605,0.8073130502314548,hold
104,2020-06-05,-1,-1,0.0024945207587225,-0.0024945207587225,0.8052991910688649,hold
105,2020-06-08,-1,-1,-0.0118810323499978,0.0118810323499978,0.8148669768093812,hold
106,2020-06-09,-1,-1,0.0069177285262014,-0.0069177285262014,0.8092299482788474,hold
107,2020-06-10,-1,-1,-0.021169158460066,0.021169158460066,0.8263606652845933,hold
